ID_NO,INTERNAL_SCORE,ID_DECISION,CHANNEL,STORE,APPLICATION_TYPE,CONSULTATION_ID,FLAG_HIT,FICO_SCORE,DATE_OF_BIRTH,RESIDENCE,MARITAL_STATUS,SEX_FLAG,DEPENDENDENTS_NO,UNDERWRITERïS_NAME_CREDIT,ACCOUNT_TYPE_CREDIT,RESPONSIBILITY_TYPE_CREDIT,CREDIT_TYPE,Source,IMPUGNATED_REGISTRY,UNDERWRITERïS_NAME_CONSULTATION,ACCOUNT_TYPE_CONSULTATION,RESPONSIBILITY_TYPE_CONSULTATION,AMOUNT_APPLIED_FOR,Paid/Not Paid
010116B60001F73E,89,INMEDIATO,1,5814,2.01801E+25,359166348,1,572,05/05/1985,5,,,0,TIENDA COMERCIAL,Aparatos/Muebles,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116B60001EEF3,105,INVESTIGACIàN,1,5814,2.01801E+25,359368349,1,601,07/01/1969,5,C,F,3,FINANCIERA,Pr‚stamo Personal,Mancomunado,Pagos Fijos,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116C300010AC3,149,INVESTIGACIàN,1,5827,2.0171E+25,330731649,1,635,31/10/1968,5,,,0,FINANCIERA,Pr‚stamo Personal,Individual,Pagos Fijos,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
01091867000000D3,97,INVESTIGACIàN,1,5827,2.0171E+25,335040982,1,505,27/07/1983,5,,,0,COBRANZA,Pr‚stamo Personal,Individual,Pagos Fijos,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116C30001BC99,98,INVESTIGACIàN,1,5827,2.01711E+25,338076372,1,675,10/11/1999,5,,,0,TIENDA COMERCIAL,L¡nea de Cr‚dito,Individual,Revolvente,C¡culo de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116C30001BD1A,91,INVESTIGACIàN,1,5827,2.01711E+25,342652029,0,660,11/09/1998,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,1
010116C30001BD1E,54,INVESTIGACIàN,1,5827,2.01711E+25,342913622,0,596,01/02/1999,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116C6000113FB,77,INVESTIGACIàN,1,5830,2.01712E+25,352178597,1,693,25/03/1973,5,,,0,COMUNICACIONES,L¡nea de Cr‚dito,Individual,Sin L¡mite Preestablecido,Bur¢ de Cr‚dito,NO,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116C60000D011,96,INVESTIGACIàN,1,5830,2.01801E+25,357534239,0,0,03/12/1948,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116CF00007BF6,112,INMEDIATO,1,5839,2.01706E+25,297098110,0,564,19/07/1995,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
010116CF000025A7,160,INVESTIGACIàN,1,5839,2.01706E+25,299878544,1,681,28/03/1989,5,,,0,SERVICIOS,Otros,UNERFORSCHT,Sin L¡mite Preestablecido,Bur¢ de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116CF0000796A,112,INMEDIATO,1,5839,2.01707E+25,300672364,0,635,24/09/1992,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,1
010920E400002482,134,INMEDIATO,1,5839,2.01707E+25,301096770,0,627,31/07/1996,,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
01011B0B00022975,128,INMEDIATO,1,5839,2.01707E+25,301312999,0,639,21/11/1997,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
012718B500000936,171,INMEDIATO,1,5839,2.01707E+25,302513899,1,703,05/07/1983,5,,,0,FINANCIERA,Grupo Solidario,UNERFORSCHT,Pagos Fijos,C¡culo de Cr‚dito,NO,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116CF000017F6,135,INMEDIATO,1,5839,2.01707E+25,304088558,0,641,01/02/1980,5,D,M,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,,0
010116CF0000781D,144,INVESTIGACIàN,1,5839,2.01708E+25,309953921,0,0,19/07/1992,5,,,0,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,UNERFORSCHT,BANCO AZTECA,Pagos Fijos,UNERFORSCHT,0,0
